Crosstalk,Ct_Sora_Raf,Ct_Sora_EGFR,Ct_Sora_IGFR,Ct_EGFR_PI3K,Ct_Erk_mTor,Ct_mTor_IGFR,Ct_PI3K_Raf,WBDMSO,WB1257Sora,WB1851Sora,Bp1851Sora,Bp1851DMSO,Bp1851Sora2,Bp1851DMSO2,Bp1257Sora,Bp1257DMSO,Bp1257Sora2,Bp1257DMSO2,Size,
4,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,3,0.3%
5,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,3,0.3%
3,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,3,0.3%
4,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,3,0.3%
5,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,0.3%
5,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,3,0.3%
5,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,3,0.3%
5,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,0.3%
6,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,23,2.3%
5,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,9,0.9%
6,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,10,1.0%
5,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,6,0.6%
6,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,12,1.2%
4,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,6,0.6%
5,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,6,0.6%
6,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,6,0.6%
5,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,9,0.9%
6,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,9,0.9%
4,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,9,0.9%
5,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,9,0.9%
6,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9,0.9%
6,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,9,0.9%
6,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,9,0.9%
6,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,9,0.9%
6,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,18,1.8%
7,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,36,3.5%
5,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,18,1.8%
6,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,18,1.8%
7,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,18,1.8%
7,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,28,2.8%
7,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,62,6.1%
6,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,24,2.4%
3,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0.1%
4,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0.1%
2,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0.1%
3,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0.1%
4,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.1%
4,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0.1%
4,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0.1%
4,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.1%
5,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,11,1.1%
4,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,5,0.5%
5,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,4,0.4%
4,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,2,0.2%
5,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,4,0.4%
3,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,2,0.2%
4,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,2,0.2%
5,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,2,0.2%
4,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,0.3%
5,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,0.7%
5,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,9,0.9%
6,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,22,2.2%
5,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,0.4%
3,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.1%
4,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,3,0.3%
3,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.1%
4,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.1%
5,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,4,0.4%
6,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,9,0.9%
4,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,0.3%
5,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,3,0.3%
6,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,0.3%
6,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,5,0.5%
6,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,10,1.0%
7,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,24,2.4%
5,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,6,0.6%
6,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,6,0.6%
7,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,6,0.6%
7,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,14,1.4%
5,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,4,0.4%
6,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,4,0.4%
5,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,3,0.3%
4,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,2,0.2%
5,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,5,0.5%
3,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.1%
4,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.1%
4,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0.1%
5,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0.1%
3,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,2,0.2%
4,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,2,0.2%
2,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,0.2%
3,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,2,0.2%
4,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,0.2%
4,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,2,0.2%
4,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,2,0.2%
4,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0.2%
5,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,11,1.1%
4,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,4,0.4%
5,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,5,0.5%
4,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,3,0.3%
5,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,6,0.6%
3,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,3,0.3%
4,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,3,0.3%
5,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,3,0.3%
4,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,5,0.5%
5,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,5,0.5%
3,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,5,0.5%
4,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,5,0.5%
5,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,5,0.5%
5,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,5,0.5%
5,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,5,0.5%
5,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,5,0.5%
5,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,9,0.9%
6,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,18,1.8%
4,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,9,0.9%
5,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,9,0.9%
6,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,9,0.9%
6,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,14,1.4%
6,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,29,2.9%
5,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,10,1.0%
2,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0.1%
3,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0.1%
1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0.1%
2,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0.1%
3,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.1%
3,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0.1%
3,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0.1%
3,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.1%
4,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,5,0.5%
3,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,2,0.2%
4,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,2,0.2%
3,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0.1%
4,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,2,0.2%
2,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0.1%
3,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0.1%
4,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0.1%
3,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,2,0.2%
4,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,3,0.3%
4,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,5,0.5%
5,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,9,0.9%
2,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0.1%
3,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0.1%
4,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,2,0.2%
5,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,4,0.4%
3,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,2,0.2%
4,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,2,0.2%
5,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,2,0.2%
5,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,0.2%
5,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,5,0.5%
6,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,10,1.0%
4,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,5,0.5%
5,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,5,0.5%
6,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,5,0.5%
6,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,5,0.5%
3,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.1%
4,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,2,0.2%
2,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0.1%
3,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0.1%
4,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0.1%
4,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0.1%
4,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,3,0.3%
5,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,4,0.4%
3,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,2,0.2%
4,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,2,0.2%
5,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,0.2%
5,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,3,0.3%
5,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,3,0.3%
5,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,4,0.4%
5,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,4,0.4%
6,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,9,0.9%
6,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,9,0.9%
4,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,3,0.3%
5,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,3,0.3%
3,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,3,0.3%
4,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,3,0.3%
5,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,0.3%
5,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,7,0.7%
6,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,10,1.0%
4,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,3,0.3%
5,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,3,0.3%
4,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,4,0.4%
5,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,4,0.4%
6,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,4,0.4%
3,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0.1%
4,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0.1%
2,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0.1%
3,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.1%
4,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0.1%
4,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0.1%
4,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0.1%
3,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0.1%
4,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0.1%
2,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0.1%
3,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0.1%
4,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0.1%
4,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0.1%
4,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0.1%
3,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0.1%
4,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.1%
3,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0.1%
4,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0.1%
5,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0.1%
